,Cause of Breach,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Address,Entity Type,Individuals Affected,Name of Entity,State Reported
1562,,"Name, SSN, gender, benefit code, date of hire, birthdate, annual salary and employee premium percentage. Also indicated whether employee had insurance thru Diman and what type of insurance (eg health, dental, life, etc.)",2015-05-21 00:00:00,,2015-05-04 00:00:00,,,2(in Maine,"Diman Regional Vocational Technical High School, 251 Stonehaven Road, Fall River, Maine 02723",Maine
1563,,"Name, address, debit or credit card nos., security codes, exp. Date, email addresses ",2015-05-21 00:00:00,,Discovered on 4/28/15,,,1(in Maine,SafeandVaultStore.com,Maine
1564,,"Name, SSN, driver license no., bank acct info and address (former employee sold the info to an undercover agent and is under federal indictment at this time)",2015-05-20 00:00:00,,Discovered on 4/15/15,,,1(in Maine,"Mid-America Apartment Communities, Inc., 6584 Poplar Ave, Memphis, TN 38138",Maine
1565,,Debit/credit card info,2015-05-20 00:00:00,,Notified customers on 5/11/15,,,not specified(in Maine,"Bank of America, P.O. Box 32624, Charlotte, NC 28232                           .                     ",Maine
1566,,Name or other personal identifier in combination with SSN,2015-05-20 00:00:00,,6/19/14 (Discovered 4/21/15,,,6(in Maine,"CareFirst BlueCross BlueShield, 1501 S. Clinton Street, Baltimore, MD 21224",Maine
1567,,Discover card account information may have been compromised,2015-05-19 00:00:00,,"April, 2015",,,1(in Maine,Fosters Grille Cape Coral,Maine
1568,,Discover card account information may have been compromised,2015-05-19 00:00:00,,"April, 2015",,,4(in Maine,Jimmy John's Corporate,Maine
1569,,Discover card account information may have been compromised,2015-05-19 00:00:00,,"April, 2015",,,716(in Maine,Kmart,Maine
1570,,Discover card account information may have been compromised,2015-05-19 00:00:00,,"April, 2015",,,3(in Maine,Park N Fly Online-Reserve,Maine
1571,,"Name, credit card number, exp. date, andCVV number",2015-05-19 00:00:00,,Between 1/8/15 - 3/25/15 (Confirmed 3/25/15),,,12(in Maine,"Hotel Beacon, 2130 Broadway at 75th Street, NY, NY 10023",Maine
1572,,"Name or other personal identifier in combination with SSN, Driver's license No. or non-driver ID card no. and Financial account number or credit or debit card no., in combination with the security code, access code, password, or PIN for the account.",2015-05-18 00:00:00,,As early as September 2012 and April 2014 (became aware in late Nov. 2014),,,14(in Maine,"The Pennsylvania State University, College of Engineering, 101 Hammond Building, University Park, PA 16802-1400",Maine
1573,,"Name, address, birthdate and SSN in most circumstances (Unredacted copy of 3/2/15 police log inadvertently sent to four media outlets, one of which published the info online.)",2015-05-15 00:00:00,,Discovered 4/28/15,,,24(in Maine,"Town of Brunswick, Brunswick Police Dept., 85 Pleasant Street, Brunswick, ME  04011",Maine
1574,,"Name, birthdate, SSN",2015-05-13 00:00:00,,(Feb 2013-March 2015) Discovered 3/16/15,,,6(in Maine,"Medical Management LLC, ",Maine
1575,,"Name or other personal identifier in combination with SSN and Financial account no. or credit or debit card number, in combination with the security access code, password or PIN for the account",2015-05-04 00:00:00,,1/9/15 (Discovered 4/10/15),,,1(in Maine,"LCRX, 8240 East Gelding Dr., Suite 115, Scottsdale, AZ 85260",Maine
1576,,"Name or other personal identifier in combination with Financial account no. or credit or debit card number, in combination with the security access code, password or PIN for the account",2015-05-01 00:00:00,,3/8/15 - 4/10/15  (discovered 4/9/15),,,34(in Maine,"Honig's Whistle Stop, 7136 Jackson Rd., Ann Arbor, MI 48103",Maine
1577,,"Anthem identified this organization as one of the group health plans prividing coverage to individuals in IL.  This notice is to inform us that Central States is a self funded, Taft-Hartley, multiemployer  welfare benefit fund and does not concede that it is subject to regulation under satee law and that state regulation of Central States is pre-empted by federal law.",2015-04-21 00:00:00,,?,,,?(in Maine,"Cental States Southeast and Southwest Areas Health and Welfare and Pension Funds, Law Department, P.O. Box 5123, Des Plaines, IL 60017-5123",Maine
1578,,"Name, SSN, address and bank account information for certain policyholders and their beneficiaries",2015-04-17 00:00:00,,Discovered 3/18/15,,,684(in Maine,"Columbian Financial Group, 4704 Vestal Parkway East, Binghamton, NY 13902",Maine
1579,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-04-20 00:00:00,,2/11/15-3/16/15,,,61(in Maine,"FreedomSmokes, Inc., 1039 Carrier Drive, Charlotte, NC 28216",Maine
1580,,"Name, phone numbers, and last four digits of SSN",2015-04-20 00:00:00,,See prior 6/11/14 notice,,,76 (full SSNs were accessible for 9 ME residents)(in Maine,"AT&T, 1120 20th Street, NW Ste 1000, Washington, DC 20036",Maine
1581,,Discover card account information may have been compromised,2015-04-17 00:00:00,,2015-03-01 00:00:00,,,4(in Maine,Swimsuitsforall.com,Maine
1582,,Discover card account information may have been compromised,2015-04-17 00:00:00,,2015-03-01 00:00:00,,,2(in Maine,News Café,Maine
1583,,Discover card account information may have been compromised,2015-04-17 00:00:00,,2015-03-01 00:00:00,,,7(in Maine,Hellolife,Maine
1584,,Discover card account information may have been compromised,2015-04-17 00:00:00,,2015-03-01 00:00:00,,,45(in Maine,Grillparts Com/barbeque renew,Maine
1585,,Name or other personal identifier in combination with SSN,2015-04-15 00:00:00,,12/3/14 (discovered 2/24/15),,,1(in Maine,"Providence Hospital, 1150 Varnum St., N.E., Washington, DC 20017",Maine
1586,,"Patient names, addresses, birthdates, phone numbers, SSNs and protected health info, such as diagnosis and treatment",2015-04-14 00:00:00,,Discovered 2/13/15,,,2(in Maine,"Subaru Lung Associates, S.C.",Maine
1587,,"Name or other personal identifier in combination with SSN and Financial account no. or credit or debit card number, in combination with the security access code, password or PIN for the account",2015-04-14 00:00:00,,10/2014-March 2015 (Discovered 3/15/15,,,40(in Maine,"Intuit, Inc., 2535 Garcia Ave., Mountain View, CA  94043",Maine
1588,,"Name, SSN, account no. some old account info and may have included phone numbers",2015-04-10 00:00:00,,Discovered on 3/27/15,,,340(in Maine,"HSBC Finance Corp., 26525 North River Woods Boulevard, Suite 100, Mettawa, IL 60045",Maine
1589,,"Name, birthdate, SSN, health care ID #s, home address, email address and employment info including income data",2015-04-07 00:00:00,,Notified 2/5/15 (related to Anthem breach),,,Not specified(in Maine,Austin Powder Co. ,Maine
1590,,"Name, address, OppenheimerFunds account numbers and SSNs",2015-04-08 00:00:00,,Discovered 3/24/15,,,Not specified(in Maine,"Oppenheimer Funds, P.O. Box 5270, Denver, CO 80217-5270; 800-255-2755",Maine
1591,,"Name or other personal identifier in combination  with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-04-07 00:00:00,,1/22-1/30/15 (informed on 4/3/15),,,Unknown at this time(in Maine,"Jimmy The Greek's , Maine Mall, 150 Philbrook Rd., S. Portland, Maine 04106",Maine
1592,,Name or other personal identifier,2015-02-15 00:00:00,,2/2014-9/8/2014 (discovered 2/13/15),,,24(in Maine,"Intuit, Inc., 2535 Garcia Ave., Mountain View, CA  94043",Maine
1593,,"Name, address, oppenheimerFunds account nos. and SSNs of certain individuals who hold OppenheimerFunds mutual fund accounts",2015-04-02 00:00:00,,Discovered 3/18/15,,,Not specified(in Maine,"Oppenheimer Funds, P.O. Box 5270, Denver, CO 80217-5270; 800-255-2755",Maine
1594,,"Name, address, birthdate, SSN, and academic information",2015-04-02 00:00:00,,Discovered 3/2/15,,,107(in Maine,Auburn University,Maine
1595,,"Name, birthdate, SSN, date of service and record identifier",2015-04-02 00:00:00,,As far back as October 2012 (Discovered 2/3/15),,,16(in Maine,"Advanced Data Processing, Inc.",Maine
1596,,"Name, address, SSN, Tax ID numbers, bank routing and account numbers",2015-04-02 00:00:00,,"Dec. 2014-March 13, 2015",,,4(in Maine,"SRI, Inc., 8082 Bash St, Indianapolis, Indiana 46250",Maine
1597,,Name or other personal identifier in combination with SSN,2015-04-02 00:00:00,,3/27/13 & 6/13/13 (discovered 3/19/2015),,,2(in Maine,"Franklin & Marshall College, P.O. Box 3003, Lancaster, PA 17604",Maine
1598,,Name or other personal identifier in combination with SSN,2015-04-02 00:00:00,,"May, 2014",,,Not sure(in Maine,Weyerhaeuser (through Premera),Maine
1599,,"Name, SSN, plan #, status, annual salary, amount, effective date and last update.",2015-04-01 00:00:00,,"Discovered on Feb. 3rd, 2015",,,3(in Maine,"Fidelity Investments, on behalf of Momentive Performance Materials Savings Plan",Maine
1600,,Name and SSN,2015-04-01 00:00:00,,8/13/13-9/25/14 (Discovered September 2014),,,3(in Maine,"Essex Property Trust, Inc., 925 East Meadow Drive, Palo Alto, CA 94303",Maine
1601,,Name or other personal identifier in combination with SSN and Driver's license or non-driver ID card number,2015-04-01 00:00:00,,2015-03-17 00:00:00,,,3(in Maine,"Retail Capital, LLC, 1250 Kirts Blvd #100, Troy, MI 48084",Maine
1602,,"Name, mailing address, credit card numbers, phone numbers, and email addresses.",2015-03-17 00:00:00,,3/3/15-3/10/15,,,1(in Maine,"Law Enforcement Targets, 8802 West 35W Service Dr. NE, Blaine, MN  55449",Maine
1603,,"Name, address, phone number, birthdate, SSN, Member ID no., bank account info, email address, & claims information",2015-03-27 00:00:00,,5/5/14 (informed 3/17/15),,,Not specified(in Maine,Health Care Service Corporation (Premera Blue Cross),Maine
1604,,"External system breach, credit card numbers and certain other customer information ",2015-03-27 00:00:00,,3/3/15 (discovered 3/11&3/13/15),,,284(in Maine,"Nite Ize, Inc.",Maine
1605,,See 3/3/15 notice,2015-03-26 00:00:00,,Supplement to 3/3/15 data breach notice,,,13(in Maine,Wendy's Company,Maine
1606,,Name and SSN,2015-03-24 00:00:00,,Reported by Anthem on 2/6/15,,,7(in Maine,Bank of the West,Maine
1607,,"Name, card number, billing address, card exp. Date and cvv. Other data potentially at risk for some customers includes, email addresses, PNF passwords and phone numbers.",3/20/15 (supplement to prior notice),,11/27/13 - 12/24/14,,,53 to date(in Maine,Park 'N Fly,Maine
1608,,Not specified,3/20/2015 (This was a follow up to correspondence with Will Lund at BCCP),,Didn't specify,,,Not specified(in Maine,Equifax,Maine
1609,,"Name, subscriber ID, gender, city, state, zip code, and date of birth and in some cases, SSN as well.",2015-03-20 00:00:00,,They were notified on 2/5/15 ,,,20(in Maine,"Nuance Communications Inc., One Wayside Rd., Burlington, MA 01803",Maine
1610,,Discover card account information may have been compromised,2015-03-18 00:00:00,,2015-02-01 00:00:00,,,1(in Maine,Discount Party Supplies,Maine
1611,,Discover card account information may have been compromised,2015-03-18 00:00:00,,2015-02-01 00:00:00,,,1(in Maine,Explosion Sportswear,Maine
1612,,Discover card account information may have been compromised,2015-03-18 00:00:00,,2015-02-01 00:00:00,,,8(in Maine,Fast Growing Trees,Maine
1613,,Discover card account information may have been compromised,2015-03-18 00:00:00,,2015-02-01 00:00:00,,,6(in Maine,Test Effects/Cellularoutfitter/Wireless Emporium,Maine
1614,,Discover card account information may have been compromised,2015-03-18 00:00:00,,2015-02-01 00:00:00,,,1(in Maine,Worldwide Wine Spirit Southington,Maine
1615,,"Name, birthdate, SSN, health care ID #s, home address, email address and employment info including income data",2015-03-18 00:00:00,,Notified of the Anthem Breach on 2/6/15,,,Unknown at this time(in Maine,"United Rentals, Inc. Medical Plan",Maine
1616,,"Names, address, credit card number, cc exp date and cvv code.",2015-03-17 00:00:00,,8/1/14-12/31/14 (discovered 12/25/14,,,10(in Maine,"OneStopParking, 7821 Commerce Dr., Suite 411, Florence, KY 41042",Maine
1617,,Name or other personal identifier in conbination with SSN and Driver license no. or non-driver ID card no.,2015-03-17 00:00:00,,2015-01-06 00:00:00,,,21(in Maine,"SVC West, LLC, 6277 Sea Harbor Drive, Orlando, FL 32821",Maine
1618,,"Name or other personal identifier in combination with SSN and Financial account no. or credit or debit card number, in combination with the security access code, password or PIN for the account",2015-03-17 00:00:00,,5/5/14 (Discovered 1/29/15),,,Unknown at this time(in Maine,"Premera Blue Cross, including its affiliates Academe, Inc., (fka LifeWise Health Plan of Arizona), Connexion Ins Solutions, LifeWise Health Plan of Washington, LifeWise Health Plan of Oregon, LifeWise Assurance Co. and Vivacity, Inc., 7001 220th St. SW, MS 355, Mountlake Terrace, WA 98043",Maine
1619,,"Name or other identifier in combination with Financial account no. or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-03-16 00:00:00,,3/3/15 (Discovered on 3/10/15,,,2(in Maine,"Betterbee, 8 Meader Road, Greenwich, NY 12834",Maine
1620,,Name or other personal identifier in combination with SSN,2015-03-15 00:00:00,,2015-03-03 00:00:00,,,1034(in Maine,"Apple American Group, LLC, 6200 Oak Tree Blvd, Ste 250, Independence, OH 44131",Maine
1621,,"Name, addresses, order information, and credit card information",2015-03-12 00:00:00,,Discovered on 3/10/15,,,2(in Maine,Lodge Manufacturing Company,Maine
1622,,"Name, address, website username and password, payment card acct number, card exp date and payment card security code.",2015-03-10 00:00:00,,This is supplement to 2/24/15 notice,,,Two (2) additional Maine residents(in Maine,"Lime Crime, Inc.",Maine
